sequential; seen; Considering {dataset} user_{user_id} has interacted with {dataset} items {history} . What is the next recommendation for the user ?; {dataset} {target}
sequential; seen; Here is the purchase history of {dataset} user_{user_id} : {dataset} item {history} . I wonder what is the next recommended item for the user .; {dataset} {target}
sequential; seen; {dataset} user_{user_id} has purchased {dataset} items {history}, predict next possible item to be bought by the user ?; {dataset} {target}
sequential; seen; I find the purchase list of {dataset} user_{user_id} : {dataset} items {history} , I wonder what other itmes does the user need . Can you help me decide ?; {dataset} {target}
sequential; seen; According to what items {dataset} user_{user_id} has purchased : {dataset} items {history} , Can you recommend another item to the user ?; {dataset} {target}
sequential; seen; What would {dataset} user_{user_id} be likely to purchase next after buying {dataset} items {history} ?; {dataset} {target}
sequential; seen; By analyzing the {dataset} user_{user_id} 's purchase of {dataset} items {history} , what is the next item expected to be bought ?; {dataset} {target}
sequential; seen; Can you recommend the next item for {dataset} user_{user_id} , given the user 's purchase of {dataset} items {history} ?; {dataset} {target}
sequential; seen; After buying {dataset} items {history} , what is the next item that could be recommended for {dataset} user_{user_id} ?; {dataset} {target}
sequential; seen; The {dataset} user_{user_id} has bought items : {dataset} items {history} , What else do you think is necessary for the user ?; {dataset} {target}
sequential; unseen; What is the top recommended item for {dataset} user_{user_id} who interacted with {dataset} item {history} ?; {dataset} {target}
straightforward; seen; What should we recommend for {dataset} user_{user_id} ?; {dataset} {target}
straightforward; seen; {dataset} user_{user_id} is looking for some items . Do you have any recommendations ?; {dataset} {target}
straightforward; seen; Do you have any suggested items for {dataset} user_{user_id} ?; {dataset} {target}
straightforward; seen; Which recommendation should we provide to {dataset} user_{user_id} ?; {dataset} {target}
straightforward; seen; How can we assist {dataset} user_{user_id} with a recommendation ?; {dataset} {target}
straightforward; seen; What would be a suitable recommendation for {dataset} user_{user_id} ?; {dataset} {target}
straightforward; seen; What would be a helpful recommendation for {dataset} user_{user_id} ?; {dataset} {target}
straightforward; seen; Can you recommend an item for {dataset} user_{user_id} ?; {dataset} {target}
straightforward; seen; Based on {dataset} user_{user_id} 's interests and requirements , what item would you suggest to try ?; {dataset} {target}
straightforward; seen; For {dataset} user_{user_id} , what item stands out as a top recommendation that they should consider ?; {dataset} {target}
straightforward; unseen; What is the top recommendation for {dataset} user_{user_id} ?; {dataset} {target}
